person_id;vehicle_id;Person Type;Person Injury Severity
778014;778003;DRIVER;POSSIBLE INJURY
778015;778004;DRIVER;NOT INJURED
778016;778004;PASSENGER/OCCUPANT;NOT INJURED
778017;778006;DRIVER;NOT INJURED
778018;778007;DRIVER;NOT INJURED
778019;778008;DRIVER;NOT INJURED
778020;778009;DRIVER;NOT INJURED
778021;778010;DRIVER;NOT INJURED
778022;778011;DRIVER;NOT INJURED
778023;778011;PASSENGER/OCCUPANT;POSSIBLE INJURY
778024;778013;DRIVER;NOT INJURED
778025;778014;DRIVER;NOT INJURED
778026;778015;DRIVER;NOT INJURED
778027;778016;DRIVER;POSSIBLE INJURY
778028;778017;DRIVER;NOT INJURED
778029;778018;DRIVER;NOT INJURED
778030;778018;PASSENGER/OCCUPANT;NOT INJURED
778031;778020;DRIVER;NOT INJURED
778032;778021;DRIVER;NOT INJURED
778033;778021;PASSENGER/OCCUPANT;NOT INJURED
778034;778021;PASSENGER/OCCUPANT;NOT INJURED
778035;778021;PASSENGER/OCCUPANT;NOT INJURED
778036;778025;DRIVER;NOT INJURED
778037;778026;DRIVER;POSSIBLE INJURY
778038;778026;PASSENGER/OCCUPANT;UNKNOWN
778039;778028;DRIVER;NOT INJURED
778040;778029;DRIVER;NOT INJURED
778041;778030;DRIVER;NOT INJURED
778042;778031;DRIVER;POSSIBLE INJURY
778043;778031;PASSENGER/OCCUPANT;NOT INJURED
778044;778031;PASSENGER/OCCUPANT;NOT INJURED
778045;778034;DRIVER;POSSIBLE INJURY
778046;778035;DRIVER;NOT INJURED
778047;778036;DRIVER;NOT INJURED
778048;778036;PASSENGER/OCCUPANT;NOT INJURED
778049;778038;DRIVER;POSSIBLE INJURY
778050;778038;PASSENGER/OCCUPANT;POSSIBLE INJURY
778051;778040;DRIVER;NOT INJURED
778052;778041;DRIVER;NOT INJURED
778053;778042;DRIVER;NOT INJURED
778054;778043;DRIVER;NOT INJURED
778055;778044;DRIVER;NOT INJURED
778056;778045;DRIVER;NOT INJURED
778057;778046;DRIVER;NOT INJURED
778058;778046;PASSENGER/OCCUPANT;NOT INJURED
778059;778048;DRIVER;NOT INJURED
778060;778049;DRIVER;UNKNOWN
778061;778050;DRIVER;NOT INJURED
778062;778051;DRIVER;NOT INJURED
778063;778052;DRIVER;UNKNOWN
778064;778053;DRIVER;POSSIBLE INJURY
778065;778053;PASSENGER/OCCUPANT;POSSIBLE INJURY
778066;778055;DRIVER;UNKNOWN
778067;778056;DRIVER;NOT INJURED
778068;778057;DRIVER;NOT INJURED
778069;778058;DRIVER;NOT INJURED
778070;778058;PASSENGER/OCCUPANT;NOT INJURED
778071;778058;PASSENGER/OCCUPANT;NOT INJURED
778072;778058;PASSENGER/OCCUPANT;NOT INJURED
778073;778058;PASSENGER/OCCUPANT;NOT INJURED
778074;778058;PASSENGER/OCCUPANT;NOT INJURED
778075;778064;DRIVER;NOT INJURED
778076;778065;DRIVER;NOT INJURED
778077;778065;PASSENGER/OCCUPANT;NOT INJURED
778078;778065;PASSENGER/OCCUPANT;NOT INJURED
778079;778068;DRIVER;POSSIBLE INJURY
778080;778069;DRIVER;NOT INJURED
778081;778069;PASSENGER/OCCUPANT;NOT INJURED
778082;778069;PASSENGER/OCCUPANT;NOT INJURED
778083;778072;DRIVER;NOT INJURED
778084;778073;DRIVER;NOT INJURED
778085;778074;DRIVER;NOT INJURED
778086;778074;PASSENGER/OCCUPANT;NOT INJURED
778087;778076;DRIVER;NOT INJURED
778088;778077;DRIVER;NOT INJURED
778089;778078;DRIVER;NOT INJURED
778090;778078;PASSENGER/OCCUPANT;NOT INJURED
778091;778078;PASSENGER/OCCUPANT;NOT INJURED
778092;778081;DRIVER;POSSIBLE INJURY
778093;778082;DRIVER;POSSIBLE INJURY
778094;778083;DRIVER;POSSIBLE INJURY
778095;778084;DRIVER;POSSIBLE INJURY
778096;778084;PASSENGER/OCCUPANT;NOT INJURED
778097;778086;DRIVER;POSSIBLE INJURY
778098;778087;DRIVER;NOT INJURED
778099;778087;PASSENGER/OCCUPANT;NOT INJURED
778100;778087;PASSENGER/OCCUPANT;NOT INJURED
778101;778087;PASSENGER/OCCUPANT;NOT INJURED
778102;778091;DRIVER;NOT INJURED
778103;778092;DRIVER;NOT INJURED
778104;778093;DRIVER;NOT INJURED
778105;778094;DRIVER;NOT INJURED
778106;778094;PASSENGER/OCCUPANT;NOT INJURED
778107;778094;PASSENGER/OCCUPANT;NOT INJURED
778108;778097;DRIVER;NOT INJURED
778109;778098;DRIVER;NOT INJURED
778110;778098;PASSENGER/OCCUPANT;NOT INJURED
778111;778098;PASSENGER/OCCUPANT;NOT INJURED
778112;778098;PASSENGER/OCCUPANT;NOT INJURED
778113;778102;DRIVER;NOT INJURED
778114;778102;PASSENGER/OCCUPANT;NOT INJURED
778115;778104;DRIVER;NOT INJURED
778116;778104;PASSENGER/OCCUPANT;NOT INJURED
778117;778104;PASSENGER/OCCUPANT;NOT INJURED
778118;778107;DRIVER;NOT INJURED
778119;778108;DRIVER;NON-INCAPACITATING INJURY
778120;778109;DRIVER;NOT INJURED
778121;778110;DRIVER;NOT INJURED
778122;778111;DRIVER;NOT INJURED
778123;778111;PASSENGER/OCCUPANT;NOT INJURED
778124;778113;DRIVER;UNKNOWN
778125;778114;DRIVER;NOT INJURED
778126;778114;PASSENGER/OCCUPANT;NOT INJURED
778127;778116;DRIVER;NOT INJURED
778128;778117;DRIVER;NOT INJURED
778129;778117;PASSENGER/OCCUPANT;NOT INJURED
778130;778119;DRIVER;NOT INJURED
778131;778120;DRIVER;NOT INJURED
778132;778120;PASSENGER/OCCUPANT;NOT INJURED
778133;778122;DRIVER;NOT INJURED
778134;778122;PASSENGER/OCCUPANT;POSSIBLE INJURY
778135;778122;PASSENGER/OCCUPANT;POSSIBLE INJURY
778136;778125;DRIVER;NOT INJURED
778137;778125;PASSENGER/OCCUPANT;NOT INJURED
778138;778125;PASSENGER/OCCUPANT;NOT INJURED
778139;778128;DRIVER;NOT INJURED
778140;778129;DRIVER;POSSIBLE INJURY
778141;778130;DRIVER;NOT INJURED
778142;778131;DRIVER;NOT INJURED
778143;778132;DRIVER;NOT INJURED
778144;778133;DRIVER;POSSIBLE INJURY
778145;778133;PASSENGER/OCCUPANT;POSSIBLE INJURY
778146;778135;DRIVER;NOT INJURED
778147;778136;DRIVER;NOT INJURED
778148;778137;DRIVER;NOT INJURED
778149;778138;DRIVER;NOT INJURED
778150;778139;DRIVER;NOT INJURED
778151;778140;DRIVER;NOT INJURED
778152;778141;DRIVER;NOT INJURED
778153;778142;DRIVER;NOT INJURED
778154;778143;DRIVER;NOT INJURED
778155;778143;PASSENGER/OCCUPANT;NOT INJURED
778156;778143;PASSENGER/OCCUPANT;NOT INJURED
778157;778143;PASSENGER/OCCUPANT;NOT INJURED
778158;778143;PASSENGER/OCCUPANT;NOT INJURED
778159;778148;DRIVER;NOT INJURED
778160;778149;DRIVER;NOT INJURED
778161;778150;DRIVER;NOT INJURED
778162;778151;DRIVER;NOT INJURED
778163;778152;DRIVER;NOT INJURED
778164;778153;DRIVER;NOT INJURED
778165;778154;DRIVER;NOT INJURED
778166;778155;DRIVER;NOT INJURED
778167;778156;DRIVER;NOT INJURED
778168;778157;DRIVER;NOT INJURED
778169;778158;DRIVER;NOT INJURED
778170;778159;DRIVER;NOT INJURED
778171;778159;PASSENGER/OCCUPANT;NOT INJURED
778172;778159;PASSENGER/OCCUPANT;NOT INJURED
778173;778162;DRIVER;NOT INJURED
778174;778163;DRIVER;NOT INJURED
778175;778164;DRIVER;NOT INJURED
778176;778165;DRIVER;NOT INJURED
778177;778165;PASSENGER/OCCUPANT;NOT INJURED
778178;778167;DRIVER;NOT INJURED
778179;778168;DRIVER;NOT INJURED
778180;778169;DRIVER;NOT INJURED
778181;778170;DRIVER;NOT INJURED
778182;778171;DRIVER;NOT INJURED
778183;778172;DRIVER;NOT INJURED
778184;778173;DRIVER;NOT INJURED
778185;778173;PASSENGER/OCCUPANT;NOT INJURED
778186;778173;PASSENGER/OCCUPANT;NOT INJURED
778187;778176;DRIVER;NOT INJURED
778188;778176;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778189;778178;DRIVER;NOT INJURED
778190;778179;DRIVER;INCAPACITATING INJURY
778191;778180;DRIVER;NOT INJURED
778192;778181;DRIVER;NOT INJURED
778193;778181;PASSENGER/OCCUPANT;NOT INJURED
778194;778181;PASSENGER/OCCUPANT;NOT INJURED
778195;778184;DRIVER;NOT INJURED
778196;778184;PASSENGER/OCCUPANT;NOT INJURED
778197;778184;PASSENGER/OCCUPANT;POSSIBLE INJURY
778198;778187;DRIVER;NOT INJURED
778199;778187;PASSENGER/OCCUPANT;NOT INJURED
778200;778189;DRIVER;POSSIBLE INJURY
778201;778189;PASSENGER/OCCUPANT;POSSIBLE INJURY
778202;778191;DRIVER;NON-INCAPACITATING INJURY
778203;778192;DRIVER;NOT INJURED
778204;778193;DRIVER;NON-INCAPACITATING INJURY
778205;778194;DRIVER;INCAPACITATING INJURY
778206;778195;DRIVER;NOT INJURED
778207;778196;DRIVER;NOT INJURED
778208;778197;DRIVER;NOT INJURED
778209;778197;PASSENGER/OCCUPANT;NOT INJURED
778210;778197;PASSENGER/OCCUPANT;NOT INJURED
778211;778197;PASSENGER/OCCUPANT;NOT INJURED
778212;778197;PASSENGER/OCCUPANT;NOT INJURED
778213;778197;PASSENGER/OCCUPANT;NOT INJURED
778214;778197;PASSENGER/OCCUPANT;NOT INJURED
778215;778197;PASSENGER/OCCUPANT;NOT INJURED
778216;778197;PASSENGER/OCCUPANT;NOT INJURED
778217;778197;PASSENGER/OCCUPANT;NOT INJURED
778218;778197;PASSENGER/OCCUPANT;NOT INJURED
778219;778197;PASSENGER/OCCUPANT;NOT INJURED
778220;778197;PASSENGER/OCCUPANT;NOT INJURED
778221;778197;PASSENGER/OCCUPANT;NOT INJURED
778222;778197;PASSENGER/OCCUPANT;NOT INJURED
778223;778197;PASSENGER/OCCUPANT;NOT INJURED
778224;778197;PASSENGER/OCCUPANT;NOT INJURED
778225;778197;PASSENGER/OCCUPANT;NOT INJURED
778226;778197;PASSENGER/OCCUPANT;NOT INJURED
778227;778197;PASSENGER/OCCUPANT;NOT INJURED
778228;778197;PASSENGER/OCCUPANT;NOT INJURED
778229;778197;PASSENGER/OCCUPANT;NOT INJURED
778230;778197;PASSENGER/OCCUPANT;NOT INJURED
778231;778197;PASSENGER/OCCUPANT;NOT INJURED
778232;778197;PASSENGER/OCCUPANT;NOT INJURED
778233;778197;PASSENGER/OCCUPANT;NOT INJURED
778234;778197;PASSENGER/OCCUPANT;NOT INJURED
778235;778197;PASSENGER/OCCUPANT;NOT INJURED
778236;778197;PASSENGER/OCCUPANT;NOT INJURED
778237;778197;PASSENGER/OCCUPANT;NOT INJURED
778238;778197;PASSENGER/OCCUPANT;NOT INJURED
778239;778197;PASSENGER/OCCUPANT;NOT INJURED
778240;778197;PASSENGER/OCCUPANT;NOT INJURED
778241;778197;PASSENGER/OCCUPANT;NOT INJURED
778242;778197;PASSENGER/OCCUPANT;NOT INJURED
778243;778197;PASSENGER/OCCUPANT;NOT INJURED
778244;778197;PASSENGER/OCCUPANT;NOT INJURED
778245;778197;PASSENGER/OCCUPANT;NOT INJURED
778246;778197;PASSENGER/OCCUPANT;NOT INJURED
778247;778197;PASSENGER/OCCUPANT;NOT INJURED
778248;778197;PASSENGER/OCCUPANT;NOT INJURED
778249;778197;PASSENGER/OCCUPANT;NOT INJURED
778250;778197;PASSENGER/OCCUPANT;NOT INJURED
778251;778197;PASSENGER/OCCUPANT;NOT INJURED
778252;778197;PASSENGER/OCCUPANT;NOT INJURED
778253;778197;PASSENGER/OCCUPANT;NOT INJURED
778254;778197;PASSENGER/OCCUPANT;NOT INJURED
778255;778197;PASSENGER/OCCUPANT;NOT INJURED
778256;778197;PASSENGER/OCCUPANT;NOT INJURED
778257;778197;PASSENGER/OCCUPANT;NOT INJURED
778258;778197;PASSENGER/OCCUPANT;NOT INJURED
778259;778197;PASSENGER/OCCUPANT;NOT INJURED
778260;778197;PASSENGER/OCCUPANT;NOT INJURED
778261;778197;PASSENGER/OCCUPANT;NOT INJURED
778262;778197;PASSENGER/OCCUPANT;NOT INJURED
778263;778197;PASSENGER/OCCUPANT;NOT INJURED
778264;778197;PASSENGER/OCCUPANT;NOT INJURED
778265;778197;PASSENGER/OCCUPANT;NOT INJURED
778266;778255;DRIVER;NOT INJURED
778267;778256;DRIVER;NOT INJURED
778268;778257;DRIVER;NOT INJURED
778269;778258;DRIVER;NOT INJURED
778270;778259;DRIVER;NOT INJURED
778271;778260;DRIVER;POSSIBLE INJURY
778272;778261;DRIVER;NOT INJURED
778273;778262;DRIVER;NOT INJURED
778274;778262;PEDESTRIAN;NON-INCAPACITATING INJURY
778275;778262;PEDESTRIAN;NON-INCAPACITATING INJURY
778276;778265;DRIVER;NOT INJURED
778277;778266;DRIVER;NOT INJURED
778278;778267;DRIVER;NOT INJURED
778279;778268;DRIVER;NOT INJURED
778280;778268;PASSENGER/OCCUPANT;NOT INJURED
778281;778268;PASSENGER/OCCUPANT;NOT INJURED
778282;778268;PASSENGER/OCCUPANT;NOT INJURED
778283;778272;DRIVER;NOT INJURED
778284;778273;DRIVER;NOT INJURED
778285;778274;DRIVER;NOT INJURED
778286;778274;PASSENGER/OCCUPANT;NOT INJURED
778287;778276;DRIVER;NOT INJURED
778288;778277;DRIVER;NOT INJURED
778289;778278;DRIVER;UNKNOWN
778290;778279;DRIVER;NOT INJURED
778291;778280;DRIVER;NOT INJURED
778292;778281;DRIVER;UNKNOWN
778293;778282;DRIVER;NOT INJURED
778294;778282;PASSENGER/OCCUPANT;NOT INJURED
778295;778284;DRIVER;NOT INJURED
778296;778285;DRIVER;NOT INJURED
778297;778285;PASSENGER/OCCUPANT;NOT INJURED
778298;778285;PASSENGER/OCCUPANT;NOT INJURED
778299;778285;PASSENGER/OCCUPANT;NOT INJURED
778300;778285;PASSENGER/OCCUPANT;NOT INJURED
778301;778290;DRIVER;NON-INCAPACITATING INJURY
778302;778291;DRIVER;NOT INJURED
778303;778292;DRIVER;NOT INJURED
778304;778293;DRIVER;UNKNOWN
778305;778294;DRIVER;NOT INJURED
778306;778295;DRIVER;NOT INJURED
778307;778295;PASSENGER/OCCUPANT;NOT INJURED
778308;778297;DRIVER;NOT INJURED
778309;778297;PASSENGER/OCCUPANT;NOT INJURED
778310;778299;DRIVER OF MOTORCYCLE TYPE VEHICLE;INCAPACITATING INJURY
778311;778300;DRIVER;NOT INJURED
778312;778300;PASSENGER/OCCUPANT;NOT INJURED
778313;778300;PASSENGER/OCCUPANT;NOT INJURED
778314;778303;DRIVER;POSSIBLE INJURY
778315;778304;DRIVER;NOT INJURED
778316;778305;DRIVER;NOT INJURED
778317;778305;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778318;778305;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778319;778308;DRIVER;INCAPACITATING INJURY
778320;778309;DRIVER;POSSIBLE INJURY
778321;778310;DRIVER;NOT INJURED
778322;778311;DRIVER;NOT INJURED
778323;778312;DRIVER;NOT INJURED
778324;778313;DRIVER;NOT INJURED
778325;778314;DRIVER;NOT INJURED
778326;778315;DRIVER;NOT INJURED
778327;778316;DRIVER;NOT INJURED
778328;778317;DRIVER;NOT INJURED
778329;778318;DRIVER;NOT INJURED
778330;778319;DRIVER;NOT INJURED
778331;778320;DRIVER;NON-INCAPACITATING INJURY
778332;778320;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778333;778320;PASSENGER/OCCUPANT;INCAPACITATING INJURY
778334;778323;DRIVER;NOT INJURED
778335;778324;DRIVER;NOT INJURED
778336;778325;DRIVER;NOT INJURED
778337;778325;PASSENGER/OCCUPANT;NOT INJURED
778338;778325;PASSENGER/OCCUPANT;NOT INJURED
778339;778328;DRIVER;NOT INJURED
778340;778328;PASSENGER/OCCUPANT;NOT INJURED
778341;778330;DRIVER;NOT INJURED
778342;778331;DRIVER;POSSIBLE INJURY
778343;778332;DRIVER;NON-INCAPACITATING INJURY
778344;778333;DRIVER;NON-INCAPACITATING INJURY
778345;778333;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778346;778335;DRIVER;NOT INJURED
778347;778336;DRIVER;NOT INJURED
778348;778337;DRIVER;NOT INJURED
778349;778338;DRIVER;NOT INJURED
778350;778339;DRIVER;NOT INJURED
778351;778340;DRIVER;NOT INJURED
778352;778340;PASSENGER/OCCUPANT;NOT INJURED
778353;778342;DRIVER;NOT INJURED
778354;778342;PASSENGER/OCCUPANT;POSSIBLE INJURY
778355;778344;DRIVER;NOT INJURED
778356;778344;PASSENGER/OCCUPANT;NOT INJURED
778357;778344;PASSENGER/OCCUPANT;NOT INJURED
778358;778347;DRIVER;POSSIBLE INJURY
778359;778348;DRIVER;NOT INJURED
778360;778349;DRIVER;NOT INJURED
778361;778350;DRIVER;UNKNOWN
778362;778351;DRIVER;NOT INJURED
778363;778352;DRIVER;UNKNOWN
778364;778353;DRIVER;NOT INJURED
778365;778354;DRIVER;NOT INJURED
778366;778355;DRIVER;NOT INJURED
778367;778355;PASSENGER/OCCUPANT;NOT INJURED
778368;778357;DRIVER;NOT INJURED
778369;778358;DRIVER;NOT INJURED
778370;778359;DRIVER;NOT INJURED
778371;778359;PASSENGER/OCCUPANT;NOT INJURED
778372;778359;PASSENGER/OCCUPANT;NOT INJURED
778373;778359;PASSENGER/OCCUPANT;NOT INJURED
778374;778363;DRIVER;NOT INJURED
778375;778363;PASSENGER/OCCUPANT;NOT INJURED
778376;778365;DRIVER;NOT INJURED
778377;778365;PASSENGER/OCCUPANT;NOT INJURED
778378;778365;PASSENGER/OCCUPANT;NOT INJURED
778379;778368;DRIVER;NOT INJURED
778380;778369;DRIVER;UNKNOWN
778381;778370;DRIVER;NOT INJURED
778382;778371;DRIVER;NOT INJURED
778383;778372;DRIVER;NOT INJURED
778384;778373;DRIVER;NOT INJURED
778385;778374;DRIVER;NOT INJURED
778386;778375;DRIVER;NOT INJURED
778387;778376;DRIVER;NOT INJURED
778388;778377;DRIVER;NOT INJURED
778389;778378;DRIVER;NOT INJURED
778390;778379;DRIVER;NOT INJURED
778391;778379;PASSENGER/OCCUPANT;NOT INJURED
778392;778381;DRIVER;NOT INJURED
778393;778382;DRIVER;NOT INJURED
778394;778382;PASSENGER/OCCUPANT;NOT INJURED
778395;778384;DRIVER;NOT INJURED
778396;778385;DRIVER;NOT INJURED
778397;778386;DRIVER;NOT INJURED
778398;778387;DRIVER;NOT INJURED
778399;778388;DRIVER;NOT INJURED
778400;778389;DRIVER;NOT INJURED
778401;778390;DRIVER;NOT INJURED
778402;778391;DRIVER;NOT INJURED
778403;778392;DRIVER;NOT INJURED
778404;778393;DRIVER;NOT INJURED
778405;778394;DRIVER;NOT INJURED
778406;778395;DRIVER;NOT INJURED
778407;778396;DRIVER;UNKNOWN
778408;778397;DRIVER;NOT INJURED
778409;778398;DRIVER;NOT INJURED
778410;778399;DRIVER;NOT INJURED
778411;778400;DRIVER;NOT INJURED
778412;778401;DRIVER;NOT INJURED
778413;778402;DRIVER;NOT INJURED
778414;778403;DRIVER;NOT INJURED
778415;778404;DRIVER;NOT INJURED
778416;778404;PASSENGER/OCCUPANT;NOT INJURED
778417;778406;DRIVER;POSSIBLE INJURY
778418;778406;PASSENGER/OCCUPANT;POSSIBLE INJURY
778419;778406;PASSENGER/OCCUPANT;POSSIBLE INJURY
778420;778406;PASSENGER/OCCUPANT;POSSIBLE INJURY
778421;778410;DRIVER;NOT INJURED
778422;778411;DRIVER;NOT INJURED
778423;778412;DRIVER;NOT INJURED
778424;778413;DRIVER;NOT INJURED
778425;778414;DRIVER;NOT INJURED
778426;778414;PASSENGER/OCCUPANT;NOT INJURED
778427;778416;DRIVER;NOT INJURED
778428;778417;DRIVER;NOT INJURED
778429;778417;PASSENGER/OCCUPANT;NOT INJURED
778430;778417;PASSENGER/OCCUPANT;NOT INJURED
778431;778417;PASSENGER/OCCUPANT;NOT INJURED
778432;778421;DRIVER;POSSIBLE INJURY
778433;778422;DRIVER;NOT INJURED
778434;778423;DRIVER;NOT INJURED
778435;778423;PASSENGER/OCCUPANT;NOT INJURED
778436;778423;PEDALCYCLIST;POSSIBLE INJURY
778437;778426;DRIVER;NOT INJURED
778438;778426;PASSENGER/OCCUPANT;NOT INJURED
778439;778428;DRIVER;NOT INJURED
778440;778429;DRIVER;NOT INJURED
778441;778430;DRIVER;NOT INJURED
778442;778431;DRIVER;NOT INJURED
778443;778432;DRIVER;UNKNOWN
778444;778433;DRIVER;NOT INJURED
778445;778434;DRIVER;NOT INJURED
778446;778435;DRIVER;NOT INJURED
778447;778436;DRIVER;NOT INJURED
778448;778437;DRIVER;NOT INJURED
778449;778438;DRIVER;NOT INJURED
778450;778439;DRIVER;NOT INJURED
778451;778440;DRIVER;NOT INJURED
778452;778441;DRIVER;POSSIBLE INJURY
778453;778442;DRIVER;NOT INJURED
778454;778442;PASSENGER/OCCUPANT;NOT INJURED
778455;778442;PASSENGER/OCCUPANT;NOT INJURED
778456;778445;DRIVER;NOT INJURED
778457;778446;DRIVER;NOT INJURED
778458;778447;DRIVER;NOT INJURED
778459;778448;DRIVER;NOT INJURED
778460;778448;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778461;778448;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778462;778451;DRIVER;NOT INJURED
778463;778452;DRIVER;NON-INCAPACITATING INJURY
778464;778453;DRIVER;NOT INJURED
778465;778454;DRIVER;NOT INJURED
778466;778455;DRIVER;NOT INJURED
778467;778456;DRIVER;POSSIBLE INJURY
778468;778457;DRIVER;NOT INJURED
778469;778458;DRIVER;NOT INJURED
778470;778459;DRIVER;NOT INJURED
778471;778460;DRIVER;NOT INJURED
778472;778460;PASSENGER/OCCUPANT;NOT INJURED
778473;778460;PASSENGER/OCCUPANT;NOT INJURED
778474;778460;PASSENGER/OCCUPANT;NOT INJURED
778475;778464;DRIVER;NOT INJURED
778476;778465;DRIVER;NOT INJURED
778477;778465;PASSENGER/OCCUPANT;NOT INJURED
778478;778467;DRIVER;NON-INCAPACITATING INJURY
778479;778467;PASSENGER/OCCUPANT;POSSIBLE INJURY
778480;778467;PASSENGER/OCCUPANT;NOT INJURED
778481;778467;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778482;778471;DRIVER;NOT INJURED
778483;778471;PASSENGER/OCCUPANT;NOT INJURED
778484;778471;PASSENGER/OCCUPANT;NOT INJURED
778485;778474;DRIVER;NOT INJURED
778486;778474;PASSENGER/OCCUPANT;NOT INJURED
778487;778476;DRIVER;NOT INJURED
778488;778476;PASSENGER/OCCUPANT;NOT INJURED
778489;778478;DRIVER;NOT INJURED
778490;778479;DRIVER;NOT INJURED
778491;778479;PASSENGER/OCCUPANT;NOT INJURED
778492;778479;PASSENGER/OCCUPANT;NOT INJURED
778493;778482;DRIVER;NOT INJURED
778494;778483;DRIVER;POSSIBLE INJURY
778495;778484;DRIVER;NON-INCAPACITATING INJURY
778496;778485;DRIVER;NOT INJURED
778497;778486;DRIVER;NOT INJURED
778498;778486;PASSENGER/OCCUPANT;NOT INJURED
778499;778486;PASSENGER/OCCUPANT;NOT INJURED
778500;778489;DRIVER;NON-INCAPACITATING INJURY
778501;778490;DRIVER;NOT INJURED
778502;778491;DRIVER;NOT INJURED
778503;778491;PASSENGER/OCCUPANT;NOT INJURED
778504;778493;DRIVER;NOT INJURED
778505;778494;DRIVER;NOT INJURED
778506;778495;DRIVER;NOT INJURED
778507;778495;PASSENGER/OCCUPANT;NOT INJURED
778508;778497;DRIVER;NOT INJURED
778509;778498;DRIVER;NOT INJURED
778510;778499;DRIVER;NOT INJURED
778511;778500;DRIVER;UNKNOWN
778512;778501;DRIVER;NOT INJURED
778513;778502;DRIVER;NOT INJURED
778514;778502;PASSENGER/OCCUPANT;NOT INJURED
778515;778504;DRIVER;POSSIBLE INJURY
778516;778504;PASSENGER/OCCUPANT;NOT INJURED
778517;778504;PASSENGER/OCCUPANT;NOT INJURED
778518;778507;DRIVER;NOT INJURED
778519;778508;DRIVER;NOT INJURED
778520;778509;DRIVER;NOT INJURED
778521;778510;DRIVER;NOT INJURED
778522;778511;DRIVER;NOT INJURED
778523;778512;DRIVER;NOT INJURED
778524;778513;DRIVER;NOT INJURED
778525;778514;DRIVER;NOT INJURED
778526;778515;DRIVER;NOT INJURED
778527;778516;DRIVER;NOT INJURED
778528;778517;DRIVER;NOT INJURED
778529;778518;DRIVER;NOT INJURED
778530;778519;DRIVER;NOT INJURED
778531;778520;DRIVER;NOT INJURED
778532;778521;DRIVER;NOT INJURED
778533;778522;DRIVER;NOT INJURED
778534;778523;DRIVER;POSSIBLE INJURY
778535;778524;DRIVER;POSSIBLE INJURY
778536;778525;DRIVER;NON-INCAPACITATING INJURY
778537;778526;DRIVER;NOT INJURED
778538;778526;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778539;778528;DRIVER;NOT INJURED
778540;778529;DRIVER;NOT INJURED
778541;778530;DRIVER;NON-INCAPACITATING INJURY
778542;778531;DRIVER;NOT INJURED
778543;778532;DRIVER;NOT INJURED
778544;778533;DRIVER;NOT INJURED
778545;778534;DRIVER;NOT INJURED
778546;778535;DRIVER;NOT INJURED
778547;778536;DRIVER;NOT INJURED
778548;778537;DRIVER;NON-INCAPACITATING INJURY
778549;778537;PASSENGER/OCCUPANT;NOT INJURED
778550;778537;PASSENGER/OCCUPANT;NON-INCAPACITATING INJURY
778551;778540;DRIVER;NOT INJURED
778552;778541;DRIVER;NOT INJURED
778553;778542;DRIVER;NON-INCAPACITATING INJURY
778554;778543;DRIVER;NOT INJURED
778555;778543;PASSENGER/OCCUPANT;NOT INJURED
778556;778543;PASSENGER/OCCUPANT;NOT INJURED
778557;778546;DRIVER;NOT INJURED
778558;778546;PASSENGER/OCCUPANT;NOT INJURED
778559;778548;DRIVER;NOT INJURED
778560;778548;PASSENGER/OCCUPANT;NOT INJURED
778561;778550;DRIVER;NOT INJURED
778562;778551;DRIVER;NOT INJURED
778563;778552;DRIVER;POSSIBLE INJURY
778564;778553;DRIVER;POSSIBLE INJURY
778565;778553;PASSENGER/OCCUPANT;POSSIBLE INJURY
778566;778555;DRIVER;POSSIBLE INJURY
778567;778556;DRIVER;NOT INJURED
778568;778557;DRIVER;POSSIBLE INJURY
778569;778557;PASSENGER/OCCUPANT;INCAPACITATING INJURY
778570;778557;PASSENGER/OCCUPANT;POSSIBLE INJURY
778571;778560;DRIVER;NOT INJURED
778572;778561;DRIVER;NOT INJURED
778573;778562;DRIVER;NOT INJURED
778574;778563;DRIVER;POSSIBLE INJURY
778575;778563;PASSENGER/OCCUPANT;POSSIBLE INJURY
778576;778563;PASSENGER/OCCUPANT;POSSIBLE INJURY
778577;778566;DRIVER;NOT INJURED
778578;778567;DRIVER;NOT INJURED
778579;778567;PEDESTRIAN;NON-INCAPACITATING INJURY
778580;778569;DRIVER;NOT INJURED
778581;778570;DRIVER;POSSIBLE INJURY
778582;778571;DRIVER;NOT INJURED
778583;778572;DRIVER;POSSIBLE INJURY
778584;778573;DRIVER;NOT INJURED
778585;778573;PASSENGER/OCCUPANT;POSSIBLE INJURY
778586;778573;PASSENGER/OCCUPANT;NOT INJURED
778587;778573;PASSENGER/OCCUPANT;NOT INJURED
778588;778577;DRIVER;POSSIBLE INJURY
778589;778578;DRIVER;NOT INJURED
778590;778579;DRIVER;NOT INJURED
778591;778580;DRIVER;NOT INJURED
778592;778580;PASSENGER/OCCUPANT;NOT INJURED
778593;778580;PASSENGER/OCCUPANT;NOT INJURED
